Id,Lang,Title,Sentence_Text,Letters,Words,Num_Sentences,gulpease,flesch,gunning_fog
68,it,Il mistero del primo millennio della Sìndone,"Uno dei problemi storici su cui si incentra la ricerca riguarda le possibili vicende della Sìndone nel primo millennio.
Se la Sìndone può essere identificata con il Mandylion di Edessa, allora essa sarebbe stata trasferita a Costantinopoli nel 944, e di qui, attraverso strade non chiarite, sarebbe giunta in Europa.
In questa vetrina sono esposti alcuni oggetti e documenti che potrebbero sostenere questa tesi.",339,64,3,50.09,183.23,25.41
69,it,La cassetta del 1858,"Nel 1578 Emanuele Filiberto di Savoia, dopo avere spostato il centro politico e amministrativo dello Stato da Chambéry a Torino, volle anche portare il palladio religioso della dinastia, la Sìndone.
Il Telo compì il viaggio ripiegato più volte, dentro questa piccola cassa di legno, che anticamente doveva essere ricoperta di scaglie preziose, forse madreperla e tartaruga.",306,56,2,45.07,176.49,26.91
70,it,Le ostensioni dal '500 al '700,"Con la concessione del culto ufficiale della Sìndone da parte del papa Giulio II nel 1506, che ne fissò la festa il giorno 4 di maggio, la notorietà e la devozione verso la reliquia crebbero, anche in conseguenza delle ostensioni periodiche celebrate a Chambéry.",210,44,1,48.09,160.71,28.51
71,it,Le immagini della devozione,"Il 600 e il 700 sono i secoli nei quali maggiormente si sviluppa la devozione alla Sìndone.
Numerose sono le raffigurazioni che vengono fatte prodotte e fatte circolare.",134,28,2,62.57,190.58,19.89
72,it,Il bozzetto della pala d'altare,"Nel 1735 terminava la costruzione della chiesa della Confratèrnita del Santissimo Sudario, sovrastante questa cripta.",97,15,1,44.33,189.35,22.0
73,it,I testi sulla Sìndone dal '500 al '600,Tra il 500 e il 600 sono stati scritti e pubblicati più di 100 testi interamente dedicati o che comunque trattano della Sìndone.,96,23,1,60.3,181.76,19.63
74,it,Le ostensioni dell'800,"Dalla seconda metà del 700 le ostensioni iniziano a rarefarsi.
Nell'800, dopo il regno di Carlo Felice, le ostensioni diventano ancora più rare, e solo per matrimoni dinastici.",137,28,2,61.5,190.61,19.89
75,it,Le immagini acheropite,"La Sìndone non è l’unica immagine di Cristo ad essere stata oggetto di devozione in Europa a partire dal Medioevo.
Dalla Veronica, al Mandylion, alla Sìndone di Besançon, nei secoli sono ricordate altre venerate immagini ritenute di Cristo.
Di tutte, l’unica che ha resistito al vaglio della critica per le sue particolari caratteristiche, è la Sìndone di Torino.",296,58,3,53.48,185.18,24.97
76,it,La deposizione dalla croce,"In questa vetrina può ammirare una bellissima raffigurazione della deposizione dalla croce con l’ostensione della Sìndone.
Ai lati in monocromo le insegne della Passione presentate da angeli.
Si tratta di un’opera dell’inizio del 600 dipinta su seta da Giovanni Battista Della Rovere.
L’iconografia della sepoltura nella Sìndone, di cui ha già visto un ingrandimento.",302,54,4,55.3,190.97,21.7
77,it,La Confraternita del Santo Sudario,"Lo scopo della Confratèrnita, ideatrice del Museo, è sin dalle origini quello di diffondere il culto e la conoscenza della Sìndone.",108,21,1,51.86,183.64,19.83
78,it,La cassetta dove era riposta la Sìndone,"Nella teca di vetro può osservare la preziosa cassa di legno, rivestita con lamina d’argento e tempestata di pietre dure e smalti, in cui è stata conservata, arrotolata, la Sìndone dalla fine del XVI secolo sino al 1998.
Il coperchio è in legno ricoperto di tessuto.
Si tratta di preziosa opera di committenza sabauda, che nel tempo ha subito alcune integrazioni e modifiche che tuttavia non hanno alterato la sua impostazione originale.
Sotto alla teca sono esposti gli accessori che servivano alla conservazione della Sìndone all’interno della cassetta, eliminati al momento in cui si è adottato il nuovo sistema di conservazione.
Sono visibili il rullo in legno rivestito di seta su cui veniva arrotolato il lenzuolo e cuscinetti che venivano inseriti tra il rullo e il tessuto.",638,127,5,50.57,179.19,24.02
79,it,Le ostensioni del 900,"Dal 900 a oggi sono state celebrate sette ostensioni solenni.
La prima avvenne nel 1931, in occasione del matrimonio del futuro re Umberto II.
Nel 1933 ne seguì un'altra per celebrare l’Anno Santo della Redenzione.
Nel 1973 si tenne invece un’ostensione televisiva.
Nel 1978 l'evento ricordò il quattrocentesimo anniversario dell’arrivo della Sìndone a Torino.
L'ostensione del 1998 commemorò alcune ricorrenze della storia religiosa piemontese e il centenario della prima fotografia del Telo.
Nel 2000 si celebrò il grande Giubileo e, infine, l'elenco si chiude con l'ostensione del 2010.",453,88,7,61.39,191.99,20.03
80,it,La nuova teca di conservazione,Si può vedere come la Sìndone è conservata distesa in una grande teca ad atmosfera.,68,15,1,63.67,189.7,19.33
81,it,Il corpo dell'uomo della Sìndone,La statua è stata realizzata nel 1998 dallo scultore Luigi Mattei.,51,11,1,69.91,193.76,11.67
